车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K193,快速,广州,11:10,广州,当天11:10,11:10,成都,9:25
K194,快速,成都,8:37,广州,第2日10:10,10:10,广州,10:10
K201,快速,重庆西,10:38,广州,第2日11:38,11:38,广州,11:38
K202,快速,广州,22:10,广州,当天----,22:10,重庆西,23:26
K203,快速,广州,22:10,广州,当天----,22:10,重庆西,23:26
K204,快速,重庆西,10:38,广州,第2日11:38,11:38,广州,11:38
K209,快速,宁波,15:05,广州,第2日14:18,14:18,广州,14:18
K210,快速,广州,21:03,广州,当天----,21:03,宁波,16:45
K212,快速,宁波,15:05,广州,第2日14:18,14:18,广州,14:18
K225,快速,兰州,21:36,广州,第3日11:58,11:58,广州,11:58
K226,快速,广州,20:27,广州,当天----,20:27,兰州,8:46
K227,快速,广州,20:27,广州,当天----,20:27,兰州,8:46
K228,快速,兰州,21:36,广州,第3日11:58,11:58,广州,11:58
K229,快速,昆明,16:52,广州,第2日19:49,20:14,厦门北,9:01
K230,快速,厦门北,17:26,广州,第2日05:10,5:30,昆明,10:07
K231,快速,厦门北,17:26,广州,第2日05:10,5:30,昆明,10:07
K232,快速,昆明,16:52,广州,第2日19:49,20:14,厦门北,9:01
K237,快速,太原,23:15,广州,第3日10:23,10:43,深圳西,13:15
K238,快速,深圳西,15:26,广州,当天17:38,17:58,太原,6:42
K240,快速,太原,23:15,广州,第3日10:23,10:43,深圳西,13:15
K301,快速,连云港东,11:17,广州,第2日14:42,14:42,广州,14:42
K302,快速,广州,21:15,广州,当天----,21:15,徐州,20:54
K304,快速,连云港东,11:17,广州,第2日14:42,14:42,广州,14:42
K325,快速,温州,17:15,广州,第2日16:16,16:16,广州,16:16
K326,快速,广州,10:25,广州,当天----,10:25,温州,10:00
K328,快速,温州,17:15,广州,第2日16:03,16:03,广州,16:03
K355,快速,重庆西,23:23,广州,第3日05:06,5:06,广州,5:06
K356,快速,广州,9:22,广州,当天----,9:22,重庆西,15:40
K357,快速,广州,9:22,广州,当天09:22,9:22,重庆西,15:40
K358,快速,重庆西,23:23,广州,第3日05:06,5:06,广州,5:06
K364,快速,广州,9:53,广州,当天----,9:53,昆明,11:08
K365,快速,广州,9:53,广州,当天----,9:53,昆明,11:08
K366,快速,昆明,7:50,广州,第2日08:53,8:53,广州,8:53
K4014,快速,广州,22:44,广州,当天----,22:44,武昌,12:35
K4016,快速,广州,8:26,广州,当天----,8:26,武昌,23:17
K4128,快速,广州,13:12,广州,当天13:12,13:12,襄阳,7:47
K4148,快速,广州,2:26,广州,当天----,2:26,重庆,5:26
K4156,快速,广州,11:45,广州,当天11:45,11:45,襄阳,5:31
K4210,快速,广州,22:01,广州,当天----,22:01,信阳,15:04
K4232,快速,广州,10:34,广州,当天10:34,10:34,渠县,14:22
K4310,快速,广州,3:25,广州,当天03:25,3:25,襄阳,22:27
K4320,快速,广州,19:13,广州,当天----,19:13,宜昌东,12:40
K435,快速,武昌,15:12,广州,第2日04:00,4:26,惠州,6:40
K436,快速,惠州,19:55,广州,当天22:08,22:31,武昌,11:43
K437,快速,惠州,19:55,广州,当天22:08,22:28,武昌,11:43
K4378,快速,广州,23:27,广州,当天----,23:27,宜昌东,15:27
K4562,快速,广州,0:53,广州,当天00:53,0:53,渠县,5:57
K4604,快速,广州,1:15,广州,当天----,1:15,宝鸡,8:15
