车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G7075,高速,安庆,9:10,上海,当天13:21,13:21,上海,13:21
G7076,高速,上海,6:20,上海,当天----,6:20,安庆,10:29
G7077,高速,上海,6:20,上海,当天06:20,6:20,安庆,10:29
G7078,高速,安庆,9:10,上海,当天13:21,13:21,上海,13:21
G7079,高速,安庆,11:00,上海,当天15:20,15:20,上海,15:20
G7080,高速,上海,7:44,上海,当天----,7:44,安庆,11:51
G7081,高速,上海,7:44,上海,当天07:44,7:44,安庆,11:51
G7082,高速,安庆,11:00,上海,当天15:20,15:20,上海,15:20
G7083,高速,安庆,15:21,上海,当天19:36,19:36,上海,19:36
G7084,高速,上海,8:37,上海,当天----,8:37,安庆,12:46
G7085,高速,上海,8:37,上海,当天08:37,8:37,安庆,12:46
G7086,高速,安庆,15:21,上海,当天19:36,19:36,上海,19:36
G7087,高速,安庆,17:11,上海,当天21:09,21:09,上海,21:09
G7088,高速,上海,12:54,上海,当天----,12:54,安庆,16:47
G7089,高速,上海,12:54,上海,当天12:54,12:54,安庆,16:47
G7090,高速,安庆,17:11,上海,当天21:09,21:09,上海,21:09
G7091,高速,安庆,18:48,上海,当天22:48,22:48,上海,22:48
G7092,高速,上海,13:41,上海,当天----,13:41,安庆,17:54
G7093,高速,上海,13:41,上海,当天13:41,13:41,安庆,17:54
G7094,高速,安庆,18:48,上海,当天22:48,22:48,上海,22:48
G7095,高速,无锡,20:13,上海,当天21:13,21:13,上海,21:13
G7096,高速,上海,18:53,上海,当天18:53,18:53,无锡,19:48
G7097,高速,南京,18:38,上海,当天20:44,20:44,上海,20:44
G7098,高速,上海,21:05,上海,当天21:05,21:05,南京,22:58
G7099,高速,南京,18:54,上海,当天20:59,20:59,上海,20:59
G7100,高速,上海,14:45,上海,当天----,14:45,南京,16:57
G7201,高速,无锡,10:27,上海,当天11:31,11:31,上海,11:31
G7202,高速,上海,9:17,上海,当天----,9:17,无锡,10:11
G7203,高速,苏州,6:53,上海,当天07:25,7:25,上海,7:25
G7205,高速,苏州,9:24,上海,当天10:03,10:03,上海,10:03
G7206,高速,上海,8:25,上海,当天----,8:25,苏州,9:06
G7207,高速,苏州,18:26,上海,当天19:07,19:07,上海,19:07
G7208,高速,上海,17:21,上海,当天----,17:21,苏州,18:03
G7209,高速,苏州,7:26,上海,当天08:07,8:07,上海,8:07
G7210,高速,上海,22:13,上海,当天----,22:13,苏州,22:47
G7211,高速,常州,6:35,上海,当天07:42,7:42,上海,7:42
G7212,高速,上海,22:25,上海,当天----,22:25,常州,23:20
G7213,高速,苏州,6:40,上海,当天07:19,7:19,上海,7:19
G7214,高速,上海,21:20,上海,当天----,21:20,苏州,22:02
G7215,高速,昆山南,6:50,上海,当天07:15,7:15,上海,7:15
G7217,高速,芜湖,19:12,上海,当天21:59,21:59,上海,21:59
G7218,高速,上海,15:29,上海,当天----,15:29,芜湖,17:52
G7219,高速,上海,15:29,上海,当天15:29,15:29,芜湖,17:52
G7220,高速,芜湖,19:12,上海,当天21:59,21:59,上海,21:59
G7221,高速,淮南南,8:05,上海,当天12:17,12:17,上海,12:17
G7222,高速,上海,16:52,上海,当天----,16:52,合肥,19:52
G7223,高速,上海,16:52,上海,当天16:52,16:52,合肥,19:52
G7224,高速,淮南南,8:05,上海,当天12:17,12:17,上海,12:17
G7225,高速,芜湖,7:28,上海,当天10:18,10:18,上海,10:18
G7226,高速,上海,19:37,上海,当天----,19:37,芜湖,22:28
G7227,高速,上海,19:37,上海,当天19:37,19:37,芜湖,22:28
G7228,高速,芜湖,7:28,上海,当天10:18,10:18,上海,10:18
G7229,高速,南京南,12:59,上海,当天15:02,15:02,上海,15:02
G7231,高速,六安,12:33,上海,当天16:09,16:09,上海,16:09
G7232,高速,上海,8:15,上海,当天----,8:15,六安,12:00
G7233,高速,上海,8:15,上海,当天08:15,8:15,六安,12:00
G7234,高速,六安,12:33,上海,当天16:09,16:09,上海,16:09
G7235,高速,苏州,16:54,上海,当天17:32,17:32,上海,17:32
G7236,高速,上海,10:28,上海,当天----,10:28,合肥南,13:39
G7237,高速,上海,10:28,上海,当天10:28,10:28,合肥南,13:39
G7239,高速,六安,15:22,上海,当天19:18,19:18,上海,19:18
G7240,高速,上海,10:54,上海,当天----,10:54,六安,14:42
G7241,高速,上海,10:54,上海,当天10:54,10:54,六安,14:42
G7242,高速,六安,15:22,上海,当天19:18,19:18,上海,19:18
G7243,高速,合肥南,15:30,上海,当天18:36,18:36,上海,18:36
G7244,高速,上海,11:53,上海,当天----,11:53,合肥南,14:46
G7245,高速,上海,11:53,上海,当天11:53,11:53,合肥南,14:46
G7246,高速,合肥南,15:30,上海,当天18:36,18:36,上海,18:36
G7247,高速,合肥南,16:44,上海,当天19:50,19:50,上海,19:50
G7248,高速,上海,13:14,上海,当天----,13:14,合肥南,16:15
G7249,高速,上海,13:14,上海,当天13:14,13:14,合肥南,16:15
G7250,高速,合肥南,16:44,上海,当天19:50,19:50,上海,19:50
G7251,高速,合肥南,18:35,上海,当天21:29,21:29,上海,21:29
G7252,高速,上海,15:44,上海,当天----,15:44,合肥南,17:52
G7253,高速,上海,15:44,上海,当天15:44,15:44,合肥南,17:52
G7254,高速,合肥南,18:35,上海,当天21:29,21:29,上海,21:29
G7255,高速,合肥南,7:43,上海,当天10:57,10:57,上海,10:57
G7256,高速,上海,17:33,上海,当天----,17:33,合肥,20:39
G7257,高速,上海,17:33,上海,当天17:33,17:33,合肥,20:39
G7258,高速,合肥南,7:43,上海,当天10:57,10:57,上海,10:57
G7259,高速,合肥,7:56,上海,当天10:13,10:13,上海,10:13
G7260,高速,上海,19:12,上海,当天----,19:12,合肥南,22:12
G7261,高速,上海,19:12,上海,当天19:12,19:12,合肥南,22:12
G7262,高速,合肥,7:56,上海,当天10:13,10:13,上海,10:13
G7263,高速,合肥南,14:39,上海,当天17:21,17:21,上海,17:21
G7264,高速,上海,11:20,上海,当天----,11:20,合肥南,14:08
G7265,高速,上海,11:20,上海,当天11:20,11:20,合肥南,14:08
G7266,高速,合肥南,14:39,上海,当天17:21,17:21,上海,17:21
G7267,高速,淮南南,15:33,上海,当天19:11,19:11,上海,19:11
G7268,高速,上海,8:05,上海,当天----,8:05,淮南南,11:54
G7269,高速,上海,8:05,上海,当天08:05,8:05,淮南南,11:54
G7270,高速,淮南南,15:33,上海,当天19:11,19:11,上海,19:11
G7271,高速,芜湖,6:42,上海,当天09:30,9:30,上海,9:30
G7272,高速,上海,18:42,上海,当天----,18:42,安庆,22:41
G7273,高速,上海,18:42,上海,当天18:42,18:42,安庆,22:41
G7274,高速,芜湖,6:42,上海,当天09:30,9:30,上海,9:30
G7275,高速,界首南,17:58,上海,当天21:55,21:55,上海,21:55
G7276,高速,上海,14:19,上海,当天----,14:19,阜阳西,18:48
G7277,高速,上海,14:19,上海,当天14:19,14:19,阜阳西,18:48
G7278,高速,界首南,17:58,上海,当天21:55,21:55,上海,21:55
G7281,高速,芜湖,15:32,上海,当天18:02,18:02,上海,18:02
G7282,高速,上海,11:33,上海,当天----,11:33,芜湖,14:14
G7283,高速,上海,11:33,上海,当天11:33,11:33,芜湖,14:14
G7284,高速,芜湖,15:32,上海,当天18:02,18:02,上海,18:02
G7285,高速,芜湖,16:56,上海,当天20:07,20:07,上海,20:07
G7286,高速,上海,20:35,上海,当天----,20:35,芜湖,23:07
G7287,高速,上海,20:35,上海,当天20:35,20:35,芜湖,23:07
G7288,高速,芜湖,16:56,上海,当天20:07,20:07,上海,20:07
G7289,高速,徐州东,7:28,上海,当天10:52,10:52,上海,10:52
G7290,高速,上海,18:31,上海,当天----,18:31,徐州东,22:16
G7291,高速,淮北,7:02,上海,当天11:03,11:03,上海,11:03
G7292,高速,上海,17:43,上海,当天----,17:43,淮北,21:54
G7294,高速,淮北,7:02,上海,当天11:03,11:03,上海,11:03
G7295,高速,淮北,15:54,上海,当天19:27,19:27,上海,19:27
G7296,高速,上海,12:40,上海,当天----,12:40,淮北,16:32
G7298,高速,淮北,15:54,上海,当天19:27,19:27,上海,19:27
G7299,高速,徐州东,9:07,上海,当天12:27,12:27,上海,12:27
G7300,高速,上海,19:51,上海,当天----,19:51,徐州东,22:56
G7317,高速,上海,8:05,上海,当天----,8:05,黄山北,11:30
G7318,高速,黄山北,13:48,上海,当天17:19,17:19,上海,17:19
G7319,高速,上海,9:38,上海,当天----,9:38,黄山北,12:46
G7358,高速,杭州,6:10,上海,当天07:36,7:36,上海,7:36
G7359,高速,上海,17:51,上海,当天----,17:51,杭州,19:31
G7360,高速,杭州,20:00,上海,当天21:34,21:34,上海,21:34
G7799,高速,苏州,16:03,上海,当天16:35,16:35,上海,16:35
G7800,高速,上海,15:05,上海,当天----,15:05,苏州,15:40
