车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K1159,快速,烟台,9:23,郑州,当天23:36,0:14,广州,20:44
K1160,快速,广州,8:19,郑州,第2日05:00,5:23,烟台,21:27
K1161,快速,广州,8:12,郑州,第2日04:38,4:53,烟台,21:27
K1162,快速,烟台,9:23,郑州,当天23:36,0:14,广州,20:44
K117,快速,北京西,11:36,郑州,当天20:44,21:00,成都,16:52
K118,快速,成都,23:52,郑州,第2日21:09,21:24,北京西,5:10
K1237,快速,郑州,14:30,郑州,当天14:30,14:30,温州,11:58
K1238,快速,温州,15:10,郑州,第2日12:53,12:53,郑州,12:53
K1239,快速,温州,15:10,郑州,第2日12:53,12:53,郑州,12:53
K1240,快速,郑州,14:30,郑州,当天----,14:30,温州,11:58
K125,快速,长春,13:42,郑州,第2日12:45,13:20,西安,20:31
K126,快速,西安,22:15,郑州,第2日05:14,5:46,长春,6:43
K127,快速,西安,22:15,郑州,第2日05:14,5:46,长春,6:43
K1275,快速,包头,7:41,郑州,第2日05:17,5:28,南昌,16:52
K1276,快速,南昌,10:45,郑州,当天22:25,22:38,包头,20:40
K1277,快速,南昌,10:45,郑州,当天22:25,22:38,包头,20:40
K1278,快速,包头,7:41,郑州,第2日05:17,5:28,南昌,16:52
K128,快速,长春,13:42,郑州,第2日12:45,13:20,西安,20:31
K131,快速,深圳西,11:16,郑州,第2日13:11,13:40,兰州,5:46
K132,快速,兰州,13:12,郑州,第2日06:28,6:54,深圳西,9:16
K133,快速,兰州,13:12,郑州,第2日06:28,6:54,深圳西,9:16
K134,快速,深圳西,11:16,郑州,第2日13:11,13:40,兰州,5:46
K1347,快速,西安,14:37,郑州,当天22:09,22:27,深圳,20:18
K1348,快速,深圳,8:10,郑州,第2日05:31,5:51,西安,13:30
K1349,快速,深圳,8:10,郑州,第2日05:31,5:51,西安,13:30
K1350,快速,西安,14:37,郑州,当天22:09,22:27,深圳,20:18
K1351,快速,连云港东,16:01,郑州,当天00:03,0:11,乌鲁木齐,14:05
K1352,快速,乌鲁木齐,22:06,郑州,第3日14:15,14:24,连云港东,22:41
K1353,快速,乌鲁木齐,22:06,郑州,第3日14:15,14:24,连云港东,22:41
K1354,快速,连云港东,16:01,郑州,当天00:03,0:11,乌鲁木齐,14:05
K1387,快速,郑州,13:20,郑州,当天----,13:20,重庆西,9:48
K1388,快速,重庆西,10:48,郑州,第2日06:16,6:16,郑州,6:16
K15,快速,济南,7:40,郑州,当天16:06,16:28,重庆西,11:07
K151,快速,郑州,18:13,郑州,当天18:13,18:13,上海,6:43
K152,快速,上海,16:31,郑州,第2日07:27,7:27,郑州,7:27
K153,快速,上海,16:31,郑州,第2日07:27,7:27,郑州,7:27
K1537,快速,南京,14:40,郑州,当天00:03,0:11,乌鲁木齐,14:05
K1538,快速,乌鲁木齐,22:06,郑州,第3日14:15,14:24,南京,23:45
K1539,快速,乌鲁木齐,22:06,郑州,第3日14:15,14:24,南京,23:45
K154,快速,郑州,18:13,郑州,当天----,18:13,上海,6:43
