车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
K753,快速,信阳,13:30,上海南,第2日05:26,5:26,上海南,5:26
K754,快速,上海南,7:31,上海南,当天----,7:31,信阳,23:39
K759,快速,上海南,12:01,上海南,当天----,12:01,衡阳,4:55
K760,快速,衡阳,19:31,上海南,第2日12:09,12:09,上海南,12:09
K79,快速,上海南,18:26,上海南,当天----,18:26,昆明,6:09
K80,快速,昆明,19:03,上海南,第3日05:16,5:16,上海南,5:16
K807,快速,无锡,16:28,上海南,当天18:28,18:51,怀化,21:15
K808,快速,怀化,12:00,上海南,第2日12:58,13:34,无锡,15:27
K809,快速,怀化,12:00,上海南,第2日12:58,13:34,无锡,15:27
K810,快速,无锡,16:28,上海南,当天18:28,18:51,怀化,21:15
K833,快速,上海南,7:07,上海南,当天----,7:07,贵阳,10:15
K834,快速,贵阳,20:50,上海南,第2日23:38,23:38,上海南,23:38
K8351,快速,连云港东,16:25,上海南,第2日05:34,5:59,杭州,8:56
K8352,快速,杭州,17:52,上海南,当天19:57,20:30,连云港东,9:59
K8353,快速,杭州,17:52,上海南,当天19:57,20:30,连云港东,10:00
K8354,快速,连云港东,16:25,上海南,第2日05:34,5:59,杭州,8:56
K8371,快速,徐州,18:42,上海南,第2日05:05,5:41,江山,14:32
K8372,快速,江山,15:31,上海南,当天22:00,22:19,徐州,8:42
T101,特快,上海南,13:20,上海南,当天----,13:20,深圳,7:50
T102,特快,深圳,16:02,上海南,第2日11:06,11:06,上海南,11:06
T135,特快,济南,17:35,上海南,第2日05:50,6:17,宁波,11:12
T136,特快,宁波,17:52,上海南,当天22:19,22:40,济南,10:14
T169,特快,上海南,10:50,上海南,当天----,10:50,广州,5:12
T170,特快,广州,15:02,上海南,第2日09:13,9:13,上海南,9:13
T211,特快,上海南,11:41,上海南,当天----,11:41,深圳,6:16
T212,特快,深圳,12:53,上海南,第2日08:18,8:18,上海南,8:18
T25,特快,上海南,17:49,上海南,当天----,17:49,南宁,18:10
T26,特快,南宁,14:56,上海南,第2日15:04,15:04,上海南,15:04
T381,特快,上海南,16:55,上海南,当天----,16:55,昆明,8:15
T382,特快,昆明,21:14,上海南,第3日11:34,11:34,上海南,11:34
T77,特快,上海南,11:27,上海南,当天----,11:27,南宁,8:39
T78,特快,南宁,9:58,上海南,第2日10:18,10:18,上海南,10:18
T80,特快,上海南,16:06,上海南,当天----,16:06,南宁,18:42
T81,特快,上海南,16:06,上海南,当天----,16:06,南宁,18:42
T82,特快,南宁,10:58,上海南,第2日13:27,13:27,上海南,13:27
Z245,直特,长沙,20:08,上海南,第2日06:44,6:44,上海南,6:44
Z246,直特,上海南,20:42,上海南,当天----,20:42,长沙,7:28
Z247,直特,上海南,20:42,上海南,当天----,20:42,长沙,7:28
Z248,直特,长沙,20:08,上海南,第2日06:44,6:44,上海南,6:44
Z25,直特,武昌,21:52,上海南,第2日08:11,8:11,上海南,8:11
Z255,直特,重庆北,14:32,上海南,第2日09:05,9:05,上海南,9:05
Z256,直特,上海南,19:09,上海南,当天19:09,19:09,重庆北,12:49
Z257,直特,上海南,19:09,上海南,当天----,19:09,重庆北,12:49
Z258,直特,重庆北,14:32,上海南,第2日09:05,9:05,上海南,9:05
Z26,直特,上海南,21:02,上海南,当天----,21:02,武昌,6:35
Z27,直特,上海南,21:02,上海南,当天21:02,21:02,武昌,6:35
Z281,直特,包头,6:51,上海南,第2日09:54,10:20,杭州,12:23
Z282,直特,杭州,17:04,上海南,当天18:54,19:30,包头,22:24
Z283,直特,杭州,17:04,上海南,当天18:54,19:30,包头,22:24
Z284,直特,包头,6:51,上海南,第2日09:54,10:20,杭州,12:23
