车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
C7171,动车,广州东,8:45,深圳,当天10:08,10:08,深圳,10:08
C7172,动车,深圳,10:22,深圳,当天10:22,10:22,广州东,11:51
C7173,动车,广州东,12:20,深圳,当天13:38,13:38,深圳,13:38
C7174,动车,深圳,13:52,深圳,当天13:52,13:52,广州东,15:11
C7175,动车,广州东,15:29,深圳,当天16:52,16:52,深圳,16:52
C7176,动车,深圳,17:20,深圳,当天17:20,17:20,广州东,18:43
C7177,动车,广州东,18:58,深圳,当天20:16,20:16,深圳,20:16
C7178,动车,深圳,20:30,深圳,当天20:30,20:30,广州东,21:49
C7179,动车,广州东,22:26,深圳,当天23:45,23:45,深圳,23:45
C7180,动车,深圳,6:12,深圳,当天06:12,6:12,广州东,7:34
C7181,动车,广州东,7:57,深圳,当天09:17,9:17,深圳,9:17
C7182,动车,深圳,9:33,深圳,当天09:33,9:33,广州东,10:52
C7183,动车,广州东,11:20,深圳,当天12:42,12:42,深圳,12:42
C7184,动车,深圳,12:58,深圳,当天12:58,12:58,广州东,14:22
C7185,动车,广州东,14:56,深圳,当天16:15,16:15,深圳,16:15
C7186,动车,深圳,16:32,深圳,当天16:32,16:32,广州东,17:57
C7187,动车,广州东,18:22,深圳,当天19:41,19:41,深圳,19:41
C7188,动车,深圳,19:56,深圳,当天19:56,19:56,广州东,21:15
D727,动车,北京西,19:59,深圳,第2日17:10,17:10,深圳,17:10
D728,动车,深圳,14:42,深圳,当天14:42,14:42,北京西,12:19
D7551,动车,深圳,7:55,深圳,当天07:55,7:55,怀集,11:04
D7553,动车,怀集,11:21,深圳,当天14:20,14:20,深圳,14:20
D7554,动车,深圳,7:55,深圳,当天07:55,7:55,怀集,11:04
K105,快速,北京西,23:16,深圳,第3日04:20,4:20,深圳,4:20
K106,快速,深圳,10:21,深圳,当天10:21,10:21,北京西,16:27
K115,快速,九江,14:55,深圳,第2日05:16,5:16,深圳,5:16
K116,快速,深圳,17:34,深圳,当天17:34,17:34,九江,7:15
K1347,快速,西安,14:37,深圳,第2日20:18,20:18,深圳,20:18
K1348,快速,深圳,8:10,深圳,当天----,8:10,西安,13:30
K1349,快速,深圳,8:10,深圳,当天----,8:10,西安,13:30
K1350,快速,西安,14:37,深圳,第2日20:18,20:18,深圳,20:18
K33,快速,苏州,18:02,深圳,第2日22:19,22:19,深圳,22:19
K34,快速,深圳,12:21,深圳,当天12:21,12:21,苏州,17:02
K36,快速,苏州,18:02,深圳,第2日22:19,22:19,深圳,22:19
K4076,快速,深圳,21:10,深圳,当天21:10,21:10,成都,15:08
K4134,快速,深圳,2:20,深圳,当天02:20,2:20,安康,2:42
K4240,快速,深圳,4:03,深圳,当天04:03,4:03,武昌,20:14
K4426,快速,深圳,1:30,深圳,当天01:30,1:30,郑州,2:04
K445,快速,西安,23:18,深圳,第3日04:37,4:37,深圳,4:37
K446,快速,深圳,7:47,深圳,当天07:47,7:47,西安,12:49
K447,快速,深圳,7:43,深圳,当天07:43,7:43,西安,12:57
K448,快速,西安,23:18,深圳,第3日04:37,4:37,深圳,4:37
K4732,快速,深圳,3:15,深圳,当天----,3:15,成都,13:57
K485,快速,成都东,12:37,深圳,第2日19:56,19:56,深圳,19:56
K486,快速,深圳,10:55,深圳,当天----,10:55,成都东,17:33
K487,快速,深圳,10:55,深圳,当天10:55,10:55,成都东,17:33
K488,快速,成都东,12:37,深圳,第2日19:56,19:56,深圳,19:56
K535,快速,洛阳,16:52,深圳,第2日17:42,17:42,深圳,17:42
K536,快速,深圳,14:08,深圳,当天00:00,14:08,洛阳,15:32
K538,快速,洛阳,16:52,深圳,第2日17:42,17:42,深圳,17:42
K6618,快速,深圳,1:05,深圳,当天01:05,1:05,岳阳,13:18
K6640,快速,深圳,11:17,深圳,当天11:17,11:17,衡阳,19:42
K9017,快速,长沙,23:39,深圳,第2日09:55,9:55,深圳,9:55
K9018,快速,深圳,20:56,深圳,当天----,20:56,长沙,6:55
K9075,快速,常德,21:36,深圳,第2日10:28,10:28,深圳,10:28
K9076,快速,深圳,19:36,深圳,当天----,19:36,常德,8:33
K9121,快速,衡阳,14:00,深圳,当天22:26,22:26,深圳,22:26
K9122,快速,深圳,21:48,深圳,当天21:48,21:48,衡阳,5:42
K950,快速,金城江,15:48,深圳,第2日09:45,9:45,深圳,9:45
K951,快速,金城江,15:48,深圳,第2日09:45,9:45,深圳,9:45
K952,快速,深圳,16:33,深圳,当天----,16:33,金城江,9:45
T101,特快,上海南,13:20,深圳,第2日07:50,7:50,深圳,7:50
T102,特快,深圳,16:02,深圳,当天16:02,16:02,上海南,11:06
T211,特快,上海南,11:41,深圳,第2日06:16,6:16,深圳,6:16
T212,特快,深圳,12:53,深圳,当天12:53,12:53,上海南,8:18
T395,特快,深圳,7:40,深圳,当天07:40,7:40,青岛,11:23
T396,特快,青岛,16:58,深圳,第2日20:45,20:45,深圳,20:45
T397,特快,青岛,16:58,深圳,第2日20:45,20:45,深圳,20:45
T398,特快,深圳,7:40,深圳,当天07:40,7:40,青岛,11:23
T8369,特快,大埔,7:18,深圳,当天13:46,13:46,深圳,13:46
T8370,特快,深圳,14:31,深圳,当天14:31,14:31,大埔,21:40
T95,特快,武昌,19:06,深圳,第2日08:46,8:46,深圳,8:46
T96,特快,深圳,16:26,深圳,当天----,16:26,武昌,7:00
Z185,直特,沈阳北,17:46,深圳,第3日04:28,4:28,深圳,4:28
Z186,直特,深圳,19:50,深圳,当天19:50,19:50,沈阳北,5:30
Z187,直特,深圳,19:50,深圳,当天----,19:50,沈阳北,5:30
Z188,直特,沈阳北,17:46,深圳,第3日04:28,4:28,深圳,4:28
Z229,直特,乌鲁木齐,18:00,深圳,第3日19:14,19:14,深圳,19:14
Z23,直特,武昌,19:30,深圳,第2日08:12,8:12,深圳,8:12
Z230,直特,深圳,9:30,深圳,当天----,9:30,乌鲁木齐,10:07
Z231,直特,深圳,9:30,深圳,当天----,9:30,乌鲁木齐,10:07
Z232,直特,乌鲁木齐,18:00,深圳,第3日19:14,19:14,深圳,19:14
Z24,直特,深圳,18:03,深圳,当天18:03,18:03,武昌,6:25
Z8005,直特,河源,12:40,深圳,当天15:05,15:05,深圳,15:05
Z8006,直特,深圳,15:30,深圳,当天00:00,15:30,河源,18:06
