车次,列车类型,始发站,始发时间,经过站,经过站,经过站,终点站,到达时间
,,,,,到达时间,发车时间,,
G1558,高速,开封北,15:16,郑州东,当天15:38,15:57,北京西,19:37
G1559,高速,开封北,15:16,郑州东,当天15:38,15:57,北京西,19:37
G1560,高速,商丘,7:30,郑州东,当天08:42,9:02,北京西,12:19
G1561,高速,商丘,7:30,郑州东,当天08:42,9:02,北京西,12:19
G1563,高速,北京西,17:36,郑州东,当天20:51,20:51,郑州东,20:51
G1564,高速,郑州东,6:42,郑州东,当天----,6:42,北京西,10:13
G1571,高速,北京西,17:41,郑州东,当天20:47,21:04,周口东,22:03
G1572,高速,周口东,7:16,郑州东,当天08:21,8:24,北京西,11:05
G1575,高速,北京西,13:41,郑州东,当天17:05,17:10,南阳东,18:53
G1576,高速,南阳东,7:53,郑州东,当天09:21,9:26,北京西,13:19
G1577,高速,北京西,11:48,郑州东,当天15:07,15:12,阜阳西,16:48
G1578,高速,阜阳西,18:49,郑州东,当天20:31,20:35,北京西,23:38
G1589,高速,北京西,14:05,郑州东,当天17:21,17:25,十堰东,20:18
G1590,高速,十堰东,9:40,郑州东,当天12:44,12:47,北京西,16:09
G1701,高速,秦皇岛,7:41,郑州东,当天13:09,13:16,成都东,19:14
G1702,高速,成都东,10:27,郑州东,当天16:56,17:00,秦皇岛,22:22
G1703,高速,成都东,10:27,郑州东,当天16:56,17:00,秦皇岛,22:22
G1704,高速,秦皇岛,7:41,郑州东,当天13:09,13:16,成都东,19:14
G1709,高速,天津西,8:05,郑州东,当天12:08,12:11,重庆西,19:46
G1710,高速,重庆西,10:49,郑州东,当天19:12,19:19,天津西,22:44
G1711,高速,天津西,16:05,郑州东,当天20:07,20:10,西安北,22:27
G1712,高速,西安北,8:15,郑州东,当天10:34,10:42,天津西,14:36
G1713,高速,天津西,9:35,郑州东,当天13:58,14:09,兰州西,19:40
G1714,高速,兰州西,8:13,郑州东,当天13:46,13:50,天津西,17:38
G1801,高速,郑州东,7:40,郑州东,当天----,7:40,上海虹桥,13:03
G1802,高速,上海虹桥,6:15,郑州东,当天11:44,11:44,郑州东,11:44
G1803,高速,上海虹桥,6:15,郑州东,当天11:44,11:44,郑州东,11:44
G1804,高速,郑州东,7:40,郑州东,当天07:40,7:40,上海虹桥,13:03
G1805,高速,许昌东,7:53,郑州东,当天08:16,8:19,上海虹桥,13:50
G1806,高速,上海虹桥,9:13,郑州东,当天14:04,14:04,郑州东,14:04
G1808,高速,许昌东,7:53,郑州东,当天08:16,8:19,上海虹桥,13:50
G1809,高速,洛阳龙门,8:07,郑州东,当天08:52,8:55,上海虹桥,14:07
G1810,高速,上海虹桥,12:33,郑州东,当天17:43,17:55,焦作,18:46
G1811,高速,上海虹桥,12:33,郑州东,当天17:43,17:55,焦作,18:46
G1812,高速,洛阳龙门,8:07,郑州东,当天08:52,8:55,上海虹桥,14:07
G1813,高速,安阳东,9:05,郑州东,当天10:03,10:23,上海虹桥,15:23
G1814,高速,上海虹桥,14:15,郑州东,当天18:13,18:13,郑州东,18:13
G1816,高速,安阳东,9:05,郑州东,当天10:03,10:23,上海虹桥,15:23
G1817,高速,郑州东,13:25,郑州东,当天13:25,13:25,上海虹桥,18:12
G1818,高速,上海虹桥,14:33,郑州东,当天19:31,19:31,郑州东,19:31
G1819,高速,上海虹桥,14:33,郑州东,当天19:31,19:31,郑州东,19:31
G1820,高速,郑州东,13:25,郑州东,当天----,13:25,上海虹桥,18:12
G1821,高速,焦作,12:50,郑州东,当天13:44,13:47,上海虹桥,18:50
G1822,高速,上海虹桥,15:40,郑州东,当天20:40,20:45,洛阳龙门,21:21
G1823,高速,上海虹桥,15:40,郑州东,当天20:40,20:45,洛阳龙门,21:21
G1824,高速,焦作,12:50,郑州东,当天13:44,13:47,上海虹桥,18:50
G1825,高速,郑州东,14:15,郑州东,当天14:15,14:15,上海虹桥,19:09
G1826,高速,上海虹桥,18:14,郑州东,当天23:28,23:28,郑州东,23:28
G1827,高速,上海虹桥,18:14,郑州东,当天23:28,23:28,郑州东,23:28
G1828,高速,郑州东,14:15,郑州东,当天----,14:15,上海虹桥,19:09
G1831,高速,济南西,6:59,郑州东,当天10:41,10:44,重庆西,19:08
G1832,高速,重庆西,10:14,郑州东,当天19:17,19:20,济南西,23:11
G1833,高速,济南西,6:40,郑州东,当天10:14,10:17,兰州西,15:49
G1834,高速,兰州西,12:55,郑州东,当天18:20,18:23,济南西,21:52
G1835,高速,青岛,8:14,郑州东,当天14:41,14:45,重庆西,22:28
G1836,高速,重庆西,7:55,郑州东,当天15:56,16:05,青岛,22:52
G1837,高速,重庆西,7:55,郑州东,当天15:56,16:05,青岛,22:52
G1838,高速,青岛,8:14,郑州东,当天14:41,14:45,重庆西,22:28
G1839,高速,青岛北,6:29,郑州东,当天13:29,13:33,兰州西,19:01
G1840,高速,兰州西,8:53,郑州东,当天14:30,14:40,青岛北,21:55
G1841,高速,兰州西,8:53,郑州东,当天14:30,14:40,青岛北,21:55
G1842,高速,青岛北,6:29,郑州东,当天13:29,13:33,兰州西,19:01
G1843,高速,荣成,9:58,郑州东,当天18:25,18:28,西安北,20:51
G1844,高速,西安北,7:40,郑州东,当天10:24,10:28,荣成,19:01
G1845,高速,西安北,7:40,郑州东,当天10:24,10:28,荣成,19:01
G1846,高速,荣成,9:58,郑州东,当天18:25,18:28,西安北,20:51
G1847,高速,烟台,10:10,郑州东,当天17:57,18:00,长沙南,21:50
G1848,高速,长沙南,8:30,郑州东,当天12:17,12:28,烟台,19:51
G1849,高速,长沙南,8:30,郑州东,当天12:17,12:28,烟台,19:51
G1850,高速,烟台,10:10,郑州东,当天17:57,18:00,长沙南,21:50
G1851,高速,青岛北,16:10,郑州东,当天22:49,22:49,郑州东,22:49
G1852,高速,郑州东,8:33,郑州东,当天----,8:33,青岛北,15:24
G1853,高速,郑州东,8:33,郑州东,当天----,8:33,青岛北,15:24
G1855,高速,青岛北,14:03,郑州东,当天20:58,21:04,西安北,23:06
G1856,高速,西安北,12:53,郑州东,当天15:05,15:15,青岛北,21:43
G1857,高速,西安北,12:53,郑州东,当天15:05,15:15,青岛北,21:43
G1858,高速,青岛北,14:03,郑州东,当天20:58,21:04,西安北,23:06
G1865,高速,郑州东,14:29,郑州东,当天----,14:29,宁波,21:37
G1866,高速,宁波,6:24,郑州东,当天13:54,13:54,郑州东,13:54
G1867,高速,宁波,6:24,郑州东,当天13:54,13:54,郑州东,13:54
G1868,高速,郑州东,14:29,郑州东,当天----,14:29,宁波,21:37
G1869,高速,郑州东,10:54,郑州东,当天10:54,10:54,杭州,16:12
G1870,高速,杭州,13:49,郑州东,当天19:26,19:26,郑州东,19:26
G1871,高速,杭州,13:49,郑州东,当天19:26,19:26,郑州东,19:26
G1872,高速,郑州东,10:54,郑州东,当天----,10:54,杭州,16:12
G1873,高速,兰州西,11:59,郑州东,当天17:34,17:37,杭州东,22:59
G1874,高速,杭州东,7:08,郑州东,当天12:14,12:17,兰州西,18:00
G1875,高速,杭州东,7:08,郑州东,当天12:14,12:17,兰州西,18:00
G1876,高速,兰州西,11:59,郑州东,当天17:34,17:37,杭州东,22:59
G1877,高速,西安北,16:26,郑州东,当天18:39,18:44,合肥南,22:11
G1878,高速,合肥南,7:22,郑州东,当天10:55,10:58,西安北,13:08
G1879,高速,合肥南,7:22,郑州东,当天10:55,10:58,西安北,13:08
G1880,高速,西安北,16:26,郑州东,当天18:39,18:44,合肥南,22:11
G1881,高速,西安北,13:40,郑州东,当天15:51,15:55,金华南,21:51
G1882,高速,金华南,7:18,郑州东,当天13:33,13:38,西安北,15:56
G1883,高速,金华南,7:18,郑州东,当天13:33,13:38,西安北,15:56
G1884,高速,西安北,13:40,郑州东,当天15:51,15:55,金华南,21:51
G1885,高速,重庆西,9:52,郑州东,当天18:33,18:37,南京南,22:00
G1886,高速,南京南,8:07,郑州东,当天11:34,11:40,重庆西,19:33
G1887,高速,南京南,8:07,郑州东,当天11:34,11:40,重庆西,19:33
G1888,高速,重庆西,9:52,郑州东,当天18:33,18:37,南京南,22:00
G1889,高速,郑州东,7:59,郑州东,当天07:59,7:59,杭州,13:26
G1890,高速,杭州,16:53,郑州东,当天21:54,21:54,郑州东,21:54
G1891,高速,杭州,16:53,郑州东,当天21:54,21:54,郑州东,21:54
G1892,高速,郑州东,7:59,郑州东,当天----,7:59,杭州,13:26
G1893,高速,西安北,8:53,郑州东,当天11:20,11:30,温州南,19:37
G1894,高速,温州南,8:22,郑州东,当天15:56,15:59,西安北,18:34
G1895,高速,温州南,8:22,郑州东,当天15:56,15:59,西安北,18:34
G1896,高速,西安北,8:53,郑州东,当天11:20,11:30,温州南,19:37
G1897,高速,西安北,7:30,郑州东,当天09:50,9:53,义乌,15:28
G1898,高速,义乌,15:52,郑州东,当天21:05,21:09,西安北,23:11
G1899,高速,义乌,15:52,郑州东,当天21:05,21:09,西安北,23:11
G1900,高速,西安北,7:30,郑州东,当天09:50,9:53,义乌,15:28
G1901,高速,兰州西,7:29,郑州东,当天13:02,13:12,福州,21:24
G1902,高速,福州,8:13,郑州东,当天16:31,16:36,兰州西,21:55
G1903,高速,福州,8:13,郑州东,当天16:31,16:36,兰州西,21:55
G1904,高速,兰州西,7:29,郑州东,当天13:02,13:12,福州,21:24
G1905,高速,郑州东,6:50,郑州东,当天----,6:50,福州,14:53
G1906,高速,福州,15:19,郑州东,当天23:01,23:01,郑州东,23:01
G1911,高速,西安北,6:26,郑州东,当天08:39,8:43,上海虹桥,13:41
G1914,高速,西安北,6:26,郑州东,当天08:39,8:43,上海虹桥,13:41
G1915,高速,西安北,9:23,郑州东,当天11:42,11:47,上海虹桥,16:45
G1918,高速,西安北,9:23,郑州东,当天11:42,11:47,上海虹桥,16:45
G1919,高速,西安北,10:23,郑州东,当天12:28,12:45,上海虹桥,17:40
G1920,高速,上海虹桥,9:24,郑州东,当天14:10,14:21,西安北,16:36
G1921,高速,上海虹桥,9:24,郑州东,当天14:10,14:21,西安北,16:36
G1922,高速,西安北,10:23,郑州东,当天12:28,12:45,上海虹桥,17:40
G1923,高速,西安北,12:23,郑州东,当天14:36,14:52,上海虹桥,19:47
G1924,高速,上海虹桥,11:34,郑州东,当天16:42,16:45,西安北,19:09
G1925,高速,上海虹桥,11:34,郑州东,当天16:42,16:45,西安北,19:09
G1926,高速,西安北,12:23,郑州东,当天14:36,14:52,上海虹桥,19:47
G1928,高速,上海虹桥,12:55,郑州东,当天18:02,18:11,西安北,20:14
G1929,高速,上海虹桥,12:55,郑州东,当天18:02,18:11,西安北,20:14
G1932,高速,上海虹桥,13:44,郑州东,当天18:31,18:34,西安北,20:39
G1933,高速,上海虹桥,13:44,郑州东,当天18:31,18:34,西安北,20:39
G1935,高速,西安北,15:12,郑州东,当天17:12,17:15,上海虹桥,21:46
G1936,高速,上海虹桥,16:12,郑州东,当天20:45,20:51,西安北,22:54
G1937,高速,上海虹桥,16:12,郑州东,当天20:45,20:51,西安北,22:54
G1938,高速,西安北,15:12,郑州东,当天17:12,17:15,上海虹桥,21:46
G1939,高速,西安北,15:50,郑州东,当天18:02,18:05,上海虹桥,23:23
G1940,高速,上海虹桥,17:06,郑州东,当天21:34,21:37,西安北,23:33
G1941,高速,上海虹桥,17:06,郑州东,当天21:34,21:37,西安北,23:33
G1942,高速,西安北,15:50,郑州东,当天18:02,18:05,上海虹桥,23:23
G1951,高速,运城北,10:23,郑州东,当天16:14,16:18,嘉兴南,22:14
G1952,高速,嘉兴南,7:14,郑州东,当天13:19,13:22,运城北,19:47
G1953,高速,嘉兴南,7:14,郑州东,当天13:19,13:22,运城北,19:47
G1954,高速,运城北,10:23,郑州东,当天16:14,16:18,嘉兴南,22:14
G1955,高速,太原南,8:49,郑州东,当天12:27,12:32,上海虹桥,17:45
G1956,高速,上海虹桥,11:58,郑州东,当天17:44,17:48,太原南,21:35
G1957,高速,上海虹桥,11:58,郑州东,当天17:44,17:48,太原南,21:35
G1958,高速,太原南,8:49,郑州东,当天12:27,12:32,上海虹桥,17:45
G1961,高速,郑州东,7:13,郑州东,当天07:13,7:13,宁波,13:42
G1962,高速,宁波,14:01,郑州东,当天20:04,20:04,郑州东,20:04
G1963,高速,宁波,14:01,郑州东,当天20:04,20:04,郑州东,20:04
G1964,高速,郑州东,7:13,郑州东,当天----,7:13,宁波,13:42
G1965,高速,郑州东,7:38,郑州东,当天07:38,7:38,温州南,15:12
G1966,高速,温州南,15:32,郑州东,当天23:22,23:22,郑州东,23:22
G1967,高速,温州南,15:32,郑州东,当天23:22,23:22,郑州东,23:22
G1968,高速,郑州东,7:38,郑州东,当天----,7:38,温州南,15:12
G1969,高速,兰州西,10:38,郑州东,当天16:14,16:22,上海虹桥,21:26
G1970,高速,上海虹桥,6:10,郑州东,当天11:00,11:10,兰州西,16:45
G1971,高速,上海虹桥,6:10,郑州东,当天11:00,11:10,兰州西,16:45
G1972,高速,兰州西,10:38,郑州东,当天16:14,16:22,上海虹桥,21:26
G1973,高速,重庆西,9:12,郑州东,当天17:17,17:21,上海虹桥,22:25
G1974,高速,上海虹桥,7:17,郑州东,当天12:20,12:23,重庆西,20:19
G1975,高速,上海虹桥,7:17,郑州东,当天12:20,12:23,重庆西,20:19
G1976,高速,重庆西,9:12,郑州东,当天17:17,17:21,上海虹桥,22:25
G1991,高速,郑州东,7:45,郑州东,当天----,7:45,温州南,17:20
G1992,高速,温州南,11:58,郑州东,当天21:28,21:28,郑州东,21:28
G1993,高速,温州南,11:58,郑州东,当天21:28,21:28,郑州东,21:28
G1994,高速,郑州东,7:45,郑州东,当天07:45,7:45,温州南,17:20
G2002,高速,西安北,8:02,郑州东,当天10:29,10:29,郑州东,10:29
G2003,高速,郑州东,8:15,郑州东,当天----,8:15,西安北,10:35
G2004,高速,西安北,20:17,郑州东,当天22:14,22:14,郑州东,22:14
G2021,高速,郑州东,8:32,郑州东,当天----,8:32,兰州西,14:20
G2022,高速,兰州西,14:42,郑州东,当天20:41,20:41,郑州东,20:41
G2023,高速,商丘,8:27,郑州东,当天09:38,9:41,兰州西,15:20
G2024,高速,兰州西,15:41,郑州东,当天21:02,21:02,郑州东,21:02
G2025,高速,郑州东,6:53,郑州东,当天----,6:53,兰州西,12:27
G2026,高速,兰州西,16:21,郑州东,当天21:36,21:36,郑州东,21:36
G2031,高速,郑州东,8:19,郑州东,当天----,8:19,恩施,14:51
G2032,高速,恩施,15:19,郑州东,当天21:44,21:44,郑州东,21:44
G2043,高速,郑州东,15:21,郑州东,当天15:21,15:21,南昌西,20:50
G2044,动车,南昌西,8:55,郑州东,当天14:00,14:00,郑州东,14:00
G2045,高速,郑州东,8:14,郑州东,当天----,8:14,厦门北,18:25
G2046,高速,厦门北,7:07,郑州东,当天17:35,17:35,郑州东,17:35
G2047,高速,厦门北,7:07,郑州东,当天17:35,17:35,郑州东,17:35
G2048,高速,郑州东,8:14,郑州东,当天08:14,8:14,厦门北,18:25
G2051,高速,威海,12:01,郑州东,当天19:13,19:23,西安北,21:26
G2052,高速,西安北,8:35,郑州东,当天10:51,10:57,威海,18:44
G2053,高速,西安北,8:35,郑州东,当天10:51,10:57,威海,18:44
G2054,高速,威海,12:01,郑州东,当天19:13,19:23,西安北,21:26
G2055,高速,郑州东,14:36,郑州东,当天----,14:36,广州南,21:01
G2056,高速,广州南,8:05,郑州东,当天14:13,14:13,郑州东,14:13
G2065,高速,济南东,7:43,郑州东,当天12:09,12:26,南宁东,22:24
G2066,高速,南宁东,7:34,郑州东,当天17:01,17:04,济南东,21:10
G2068,高速,济南东,7:43,郑州东,当天12:09,12:26,南宁东,22:24
G2069,高速,青岛北,15:00,郑州东,当天21:52,21:52,郑州东,21:52
G2070,高速,郑州东,8:05,郑州东,当天----,8:05,青岛北,14:13
G2071,高速,郑州东,8:05,郑州东,当天----,8:05,青岛北,14:13
G2072,高速,青岛北,15:00,郑州东,当天21:52,21:52,郑州东,21:52
G2073,高速,威海,16:06,郑州东,当天23:02,23:02,郑州东,23:02
G2074,高速,郑州东,7:34,郑州东,当天----,7:34,威海,15:14
G2075,高速,郑州东,7:34,郑州东,当天----,7:34,威海,15:14
G2076,高速,威海,16:06,郑州东,当天23:02,23:02,郑州东,23:02
G2081,高速,威海,10:50,郑州东,当天19:16,19:21,武汉,21:44
G2082,高速,武汉,8:50,郑州东,当天11:11,11:17,威海,18:54
G2083,高速,武汉,8:50,郑州东,当天11:11,11:17,威海,18:54
G2084,高速,威海,10:50,郑州东,当天19:16,19:21,武汉,21:44
G2087,高速,济南东,11:12,郑州东,当天15:41,15:44,成都东,21:57
G2088,高速,成都东,9:49,郑州东,当天16:38,16:48,济南东,20:22
G2089,高速,成都东,9:49,郑州东,当天16:38,16:48,济南东,20:22
G2090,高速,济南东,11:12,郑州东,当天15:41,15:44,成都东,21:57
G2093,高速,兰州西,10:17,郑州东,当天15:42,15:45,青岛北,21:34
G2094,高速,青岛北,10:25,郑州东,当天17:11,17:14,兰州西,22:42
G2095,高速,青岛北,10:25,郑州东,当天17:11,17:14,兰州西,22:42
G2096,高速,兰州西,10:17,郑州东,当天15:42,15:45,青岛北,21:34
G2201,高速,郑州东,7:10,郑州东,当天----,7:10,成都东,13:19
G2203,高速,郑州东,8:21,郑州东,当天----,8:21,成都东,14:53
G2204,高速,成都东,8:08,郑州东,当天14:22,14:22,郑州东,14:22
G2205,高速,商丘,8:37,郑州东,当天09:49,9:52,成都东,16:24
G2206,高速,重庆西,11:38,郑州东,当天19:37,19:54,徐州东,21:59
G2207,高速,徐州东,7:57,郑州东,当天10:09,10:24,重庆西,18:17
G2208,高速,成都东,13:40,郑州东,当天19:55,19:55,郑州东,19:55
G2210,高速,成都东,15:22,郑州东,当天21:46,21:46,郑州东,21:46
G2211,高速,郑州东,16:18,郑州东,当天----,16:18,成都东,23:05
G2212,高速,成都东,16:46,郑州东,当天22:55,22:55,郑州东,22:55
G2213,高速,安阳东,8:12,郑州东,当天09:15,9:26,成都东,15:37
G2214,高速,成都东,16:00,郑州东,当天21:52,21:52,郑州东,21:52
G2215,高速,郑州东,11:03,郑州东,当天----,11:03,重庆西,19:21
G2216,高速,重庆西,11:07,郑州东,当天19:23,19:23,郑州东,19:23
G2217,高速,郑州东,9:08,郑州东,当天----,9:08,成都东,15:47
G2218,高速,成都东,16:11,郑州东,当天22:09,22:09,郑州东,22:09
G2395,高速,杭州东,13:38,郑州东,当天21:06,21:06,郑州东,21:06
G2396,高速,郑州东,8:00,郑州东,当天----,8:00,杭州东,15:11
G2397,高速,郑州东,8:00,郑州东,当天08:00,8:00,杭州东,15:11
G2398,高速,杭州东,13:38,郑州东,当天21:06,21:06,郑州东,21:06
G25,高速,北京西,18:55,郑州东,当天21:29,21:32,西安北,23:21
G257,高速,青岛,15:15,郑州东,当天21:09,21:12,武汉,23:24
