,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
248,K934,快速,襄阳,11:55,广州东,第2日08:48,8:48,广州东,8:48,2693,528
249,K935,快速,襄阳,19:45,广州东,第2日13:14,13:14,广州东,13:14,2489,794
252,T156,特快,汉口,19:36,广州东,第2日14:02,14:02,广州东,14:02,2546,842
253,T157,特快,汉口,19:36,广州东,第2日14:02,14:02,广州东,14:02,2546,842
255,T171,特快,南昌,18:29,广州东,第2日06:59,6:59,广州东,6:59,2190,419
258,T221,特快,合肥,14:00,广州东,第2日08:43,8:43,广州东,8:43,2563,523
262,T8367,特快,大埔,22:28,广州东,第2日05:10,5:10,广州东,5:10,1842,310
263,T8375,特快,南雄,13:28,广州东,当天17:28,17:28,广州东,17:28,240,1048
266,T8381,特快,大埔,15:38,广州东,当天22:19,22:19,广州东,22:19,401,1339
269,Z12,直特,沈阳北,6:38,广州东,第2日13:45,13:45,广州东,13:45,3307,825
270,Z13,直特,沈阳北,6:38,广州东,第2日13:45,13:45,广州东,13:45,3307,825
272,Z167,直特,青岛,14:03,广州东,第2日18:51,18:51,广州东,18:51,3168,1131
275,Z170,直特,青岛,14:03,广州东,第2日18:51,18:51,广州东,18:51,3168,1131
276,Z235,直特,哈尔滨西,21:39,广州东,第3日08:16,8:16,广州东,8:16,3517,496
279,Z238,直特,哈尔滨西,21:39,广州东,第3日08:16,8:16,广州东,8:16,3517,496
281,Z8003,直特,河源,18:36,广州东,当天21:20,21:20,广州东,21:20,164,1280
282,Z97,直特,北京西,12:40,广州东,第2日10:00,10:00,广州东,10:00,2720,600
284,Z99,直特,上海,17:45,广州东,第2日10:06,10:06,广州东,10:06,2421,606
