,车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival
86,D3132,动车,龙岩,10:52,上海虹桥,当天20:34,20:34,上海虹桥,20:34,582,1234
87,D3133,动车,龙岩,10:52,上海虹桥,当天20:34,20:34,上海虹桥,20:34,582,1234
96,D3146,动车,赣州,10:53,上海虹桥,当天22:00,22:00,上海虹桥,22:00,667,1320
97,D3147,动车,赣州,10:53,上海虹桥,当天22:00,22:00,上海虹桥,22:00,667,1320
100,D3202,动车,厦门北,13:28,上海虹桥,当天21:47,21:47,上海虹桥,21:47,499,1307
102,D3206,动车,厦门北,12:54,上海虹桥,当天20:51,20:51,上海虹桥,20:51,477,1251
104,D3292,动车,龙岩,8:49,上海虹桥,当天18:37,18:37,上海虹桥,18:37,588,1117
105,D3293,动车,龙岩,8:49,上海虹桥,当天18:37,18:37,上海虹桥,18:37,588,1117
107,D3324,动车,景德镇北,7:25,上海虹桥,当天11:41,11:41,上海虹桥,11:41,256,701
108,D351,动车,成都东,7:57,上海虹桥,当天22:19,22:19,上海虹桥,22:19,862,1339
111,D354,动车,成都东,7:57,上海虹桥,当天22:19,22:19,上海虹桥,22:19,862,1339
113,D378,动车,深圳北,8:18,上海虹桥,当天20:01,20:01,上海虹桥,20:01,703,1201
115,D382,动车,福州南,7:39,上海虹桥,当天13:46,13:46,上海虹桥,13:46,367,826
116,D4667,动车,汉口,20:44,上海虹桥,第2日00:56,0:56,上海虹桥,0:56,1692,56
117,D4670,动车,汉口,20:44,上海虹桥,第2日00:56,0:56,上海虹桥,0:56,1692,56
118,D4677,高速,汉口,20:28,上海虹桥,第2日00:41,0:41,上海虹桥,0:41,1693,41
119,D4680,高速,汉口,20:28,上海虹桥,第2日00:41,0:41,上海虹桥,0:41,1693,41
120,D4681,动车,汉口,19:36,上海虹桥,当天00:04,0:04,上海虹桥,0:04,268,4
123,D4684,动车,汉口,19:36,上海虹桥,当天00:04,0:04,上海虹桥,0:04,268,4
126,D4808,动车,汉口,23:26,上海虹桥,第2日03:39,3:39,上海虹桥,3:39,1693,219
130,D4842,动车,汉口,22:39,上海虹桥,第2日02:37,2:37,上海虹桥,2:37,1678,157
131,D4986,动车,汉口,20:50,上海虹桥,第2日02:42,2:42,上海虹桥,2:42,1792,162
132,D635,动车,成都东,7:05,上海虹桥,当天22:14,22:14,上海虹桥,22:14,909,1334
135,D638,动车,成都东,7:05,上海虹桥,当天22:14,22:14,上海虹桥,22:14,909,1334
143,D932,动车,广州南,19:24,上海虹桥,第2日06:50,6:50,上海虹桥,6:50,2126,410
144,D933,动车,广州南,19:24,上海虹桥,第2日06:50,6:50,上海虹桥,6:50,2126,410
147,D936,动车,广州南,19:34,上海虹桥,第2日06:55,6:55,上海虹桥,6:55,2121,415
148,D937,动车,广州南,19:34,上海虹桥,第2日06:55,6:55,上海虹桥,6:55,2121,415
151,D942,动车,珠海,18:16,上海虹桥,第2日07:00,7:00,上海虹桥,7:00,2204,420
152,D943,动车,珠海,18:16,上海虹桥,第2日07:00,7:00,上海虹桥,7:00,2204,420
154,G1,高速,北京南,9:00,上海虹桥,当天13:28,13:28,上海虹桥,13:28,268,808
156,G100,高速,香港西九龙,11:10,上海虹桥,当天19:27,19:27,上海虹桥,19:27,497,1167
157,G101,高速,北京南,6:36,上海虹桥,当天12:40,12:40,上海虹桥,12:40,364,760
159,G103,高速,北京南,6:43,上海虹桥,当天12:48,12:48,上海虹桥,12:48,365,768
161,G105,高速,北京南,7:20,上海虹桥,当天13:08,13:08,上海虹桥,13:08,348,788
163,G107,高速,北京南,8:05,上海虹桥,当天13:46,13:46,上海虹桥,13:46,341,826
165,G109,高速,北京南,8:15,上海虹桥,当天14:17,14:17,上海虹桥,14:17,362,857
166,G11,高速,北京南,15:00,上海虹桥,当天19:28,19:28,上海虹桥,19:28,268,1168
168,G111,高速,北京南,8:35,上海虹桥,当天14:22,14:22,上海虹桥,14:22,347,862
170,G113,高速,北京南,8:50,上海虹桥,当天14:33,14:33,上海虹桥,14:33,343,873
172,G115,高速,北京南,9:20,上海虹桥,当天14:58,14:58,上海虹桥,14:58,338,898
174,G117,高速,北京南,9:25,上海虹桥,当天15:38,15:38,上海虹桥,15:38,373,938
176,G119,高速,北京南,10:05,上海虹桥,当天15:51,15:51,上海虹桥,15:51,346,951
179,G1202,高速,哈尔滨西,8:21,上海虹桥,当天21:00,21:00,上海虹桥,21:00,759,1260
180,G1203,高速,哈尔滨西,8:21,上海虹桥,当天21:00,21:00,上海虹桥,21:00,759,1260
182,G121,高速,北京南,10:20,上海虹桥,当天16:25,16:25,上海虹桥,16:25,365,985
184,G1212,高速,长春西,9:02,上海虹桥,当天20:18,20:18,上海虹桥,20:18,676,1218
185,G1213,高速,长春西,9:02,上海虹桥,当天20:18,20:18,上海虹桥,20:18,676,1218
193,G123,高速,北京南,11:05,上海虹桥,当天16:50,16:50,上海虹桥,16:50,345,1010
194,G1230,高速,丹东,11:11,上海虹桥,当天22:30,22:30,上海虹桥,22:30,679,1350
195,G1231,高速,丹东,11:11,上海虹桥,当天22:30,22:30,上海虹桥,22:30,679,1350
198,G1234,高速,吉林,9:47,上海虹桥,当天22:16,22:16,上海虹桥,22:16,749,1336
199,G1235,高速,吉林,9:47,上海虹桥,当天22:16,22:16,上海虹桥,22:16,749,1336
202,G125,高速,北京南,11:10,上海虹桥,当天16:59,16:59,上海虹桥,16:59,349,1019
203,G1251,高速,大连北,8:53,上海虹桥,当天20:00,20:00,上海虹桥,20:00,667,1200
206,G1254,高速,大连北,8:53,上海虹桥,当天20:00,20:00,上海虹桥,20:00,667,1200
208,G1256,高速,长春西,11:53,上海虹桥,当天22:54,22:54,上海虹桥,22:54,661,1374
209,G1257,高速,长春西,11:53,上海虹桥,当天22:54,22:54,上海虹桥,22:54,661,1374
211,G127,高速,北京南,11:30,上海虹桥,当天17:20,17:20,上海虹桥,17:20,350,1040
213,G13,高速,北京南,17:00,上海虹桥,当天21:36,21:36,上海虹桥,21:36,276,1296
215,G1304,高速,广州南,13:35,上海虹桥,当天21:51,21:51,上海虹桥,21:51,496,1311
217,G1306,高速,广州南,15:38,上海虹桥,当天23:12,23:12,上海虹桥,23:12,454,1392
218,G131,高速,北京南,12:20,上海虹桥,当天18:16,18:16,上海虹桥,18:16,356,1096
221,G1322,高速,贵阳北,9:06,上海虹桥,当天18:22,18:22,上海虹桥,18:22,556,1102
222,G1328,高速,贵阳北,11:54,上海虹桥,当天21:42,21:42,上海虹桥,21:42,588,1302
224,G133,高速,北京南,12:50,上海虹桥,当天18:40,18:40,上海虹桥,18:40,350,1120
226,G1334,高速,重庆西,8:48,上海虹桥,当天20:56,20:56,上海虹桥,20:56,728,1256
227,G1335,高速,重庆西,8:48,上海虹桥,当天20:56,20:56,上海虹桥,20:56,728,1256
230,G1338,高速,重庆西,11:36,上海虹桥,当天23:03,23:03,上海虹桥,23:03,687,1383
231,G1339,高速,重庆西,11:36,上海虹桥,当天23:03,23:03,上海虹桥,23:03,687,1383
234,G1342,高速,长沙南,7:13,上海虹桥,当天12:14,12:14,上海虹桥,12:14,301,734
235,G1344,高速,长沙南,7:32,上海虹桥,当天12:53,12:53,上海虹桥,12:53,321,773
236,G1346,高速,长沙南,8:02,上海虹桥,当天13:18,13:18,上海虹桥,13:18,316,798
238,G1348,高速,长沙南,9:02,上海虹桥,当天13:41,13:41,上海虹桥,13:41,279,821
239,G135,高速,北京南,13:05,上海虹桥,当天18:59,18:59,上海虹桥,18:59,354,1139
240,G1350,高速,长沙南,9:29,上海虹桥,当天14:54,14:54,上海虹桥,14:54,325,894
241,G1352,高速,长沙南,10:32,上海虹桥,当天16:07,16:07,上海虹桥,16:07,335,967
243,G1354,高速,邵阳,10:17,上海虹桥,当天17:03,17:03,上海虹桥,17:03,406,1023
249,G1362,高速,长沙南,13:27,上海虹桥,当天19:04,19:04,上海虹桥,19:04,337,1144
253,G137,高速,北京南,13:35,上海虹桥,当天19:17,19:17,上海虹桥,19:17,342,1157
254,G1370,高速,怀化南,9:17,上海虹桥,当天16:37,16:37,上海虹桥,16:37,440,997
256,G1372,高速,昆明南,8:21,上海虹桥,当天19:46,19:46,上海虹桥,19:46,685,1186
258,G1374,高速,昆明南,10:07,上海虹桥,当天22:16,22:16,上海虹桥,22:16,729,1336
260,G1376,高速,昆明南,10:37,上海虹桥,当天22:59,22:59,上海虹桥,22:59,742,1379
264,G1382,高速,南昌,7:22,上海虹桥,当天11:31,11:31,上海虹桥,11:31,249,691
266,G1384,高速,南昌西,8:15,上海虹桥,当天12:18,12:18,上海虹桥,12:18,243,738
268,G1386,高速,赣州西,6:50,上海虹桥,当天13:04,13:04,上海虹桥,13:04,374,784
270,G1388,高速,南昌西,15:53,上海虹桥,当天19:42,19:42,上海虹桥,19:42,229,1182
272,G1390,高速,南昌,13:40,上海虹桥,当天17:37,17:37,上海虹桥,17:37,237,1057
274,G1394,高速,南昌,17:47,上海虹桥,当天21:55,21:55,上海虹桥,21:55,248,1315
278,G141,高速,北京南,14:10,上海虹桥,当天20:09,20:09,上海虹桥,20:09,359,1209
280,G143,高速,北京南,7:50,上海虹桥,当天13:12,13:12,上海虹桥,13:12,322,792
282,G145,高速,北京南,14:35,上海虹桥,当天20:33,20:33,上海虹桥,20:33,358,1233
