车次,等级,始发站,始发时间,经过站,经过站到达时间,经过站发车时间,终到站,到达时间,duration,arrival,train
G4195,高速,西安北,16:32,上海虹桥,当天23:58,23:58,上海虹桥,23:58,446,1438,
G4198,高速,西安北,16:32,上海虹桥,当天23:58,23:58,上海虹桥,23:58,446,1438,
G4281,高速,太原南,16:59,上海虹桥,当天00:15,0:15,上海虹桥,0:15,436,15,
G4284,高速,太原南,16:59,上海虹桥,当天00:15,0:15,上海虹桥,0:15,436,15,
G4329,高速,郑州东,21:11,上海虹桥,第2日01:15,1:15,上海虹桥,1:15,1684,75,
G4332,高速,郑州东,21:11,上海虹桥,第2日01:15,1:15,上海虹桥,1:15,1684,75,
G4524,高速,福州南,20:54,上海虹桥,第2日01:12,1:12,上海虹桥,1:12,1698,72,
G4526,高速,福州,22:00,上海虹桥,第2日01:51,1:51,上海虹桥,1:51,1671,111,
G455,高速,荣成,13:15,上海虹桥,当天22:21,22:21,上海虹桥,22:21,546,1341,
G4572,高速,萍乡北,18:59,上海虹桥,当天00:18,0:18,上海虹桥,0:18,319,18,
G458,高速,荣成,13:15,上海虹桥,当天22:21,22:21,上海虹桥,22:21,546,1341,
G4589,高速,武汉,18:55,上海虹桥,当天23:49,23:49,上海虹桥,23:49,294,1429,
G459,高速,烟台,9:08,上海虹桥,当天17:16,17:16,上海虹桥,17:16,488,1036,
G4592,高速,武汉,18:55,上海虹桥,当天23:49,23:49,上海虹桥,23:49,294,1429,
G4602,高速,长沙南,19:40,上海虹桥,第2日00:39,0:39,上海虹桥,0:39,1739,39,
G462,高速,烟台,9:08,上海虹桥,当天17:16,17:16,上海虹桥,17:16,488,1036,
G4710,高速,西安北,20:41,上海虹桥,第2日03:05,3:05,上海虹桥,3:05,1824,185,
G4733,高速,郑州东,21:25,上海虹桥,第2日01:31,1:31,上海虹桥,1:31,1686,91,
G4736,高速,郑州东,21:25,上海虹桥,第2日01:31,1:31,上海虹桥,1:31,1686,91,
G4762,高速,萍乡北,11:58,上海虹桥,当天17:21,17:21,上海虹桥,17:21,323,1041,
G4766,高速,南昌西,6:59,上海虹桥,当天11:23,11:23,上海虹桥,11:23,264,683,
G4823,高速,武汉,20:14,上海虹桥,当天00:20,0:20,上海虹桥,0:20,246,20,
G4826,高速,武汉,20:14,上海虹桥,当天00:20,0:20,上海虹桥,0:20,246,20,
G4830,高速,武汉,21:25,上海虹桥,第2日01:10,1:10,上海虹桥,1:10,1665,70,
G4832,高速,贵阳北,14:20,上海虹桥,当天23:39,23:39,上海虹桥,23:39,559,1419,
G4834,高速,贵阳北,14:45,上海虹桥,当天00:02,0:02,上海虹桥,0:02,557,2,
G4914,高速,贵阳北,23:00,上海虹桥,第2日07:33,7:33,上海虹桥,7:33,1953,453,
G4918,高速,南昌西,19:51,上海虹桥,当天23:56,23:56,上海虹桥,23:56,245,1436,
G4928,高速,怀化南,20:40,上海虹桥,第2日02:49,2:49,上海虹桥,2:49,1809,169,
G4938,高速,长沙南,19:52,上海虹桥,第2日00:45,0:45,上海虹桥,0:45,1733,45,
G4967,高速,西安北,17:54,上海虹桥,第2日02:14,2:14,上海虹桥,2:14,1940,134,
G4970,高速,西安北,17:54,上海虹桥,第2日02:14,2:14,上海虹桥,2:14,1940,134,
G53,高速,石家庄,15:49,上海虹桥,当天22:05,22:05,上海虹桥,22:05,376,1325,
G575,高速,长沙南,14:51,上海虹桥,当天20:46,20:46,上海虹桥,20:46,355,1246,
G578,高速,长沙南,14:51,上海虹桥,当天20:46,20:46,上海虹桥,20:46,355,1246,
G597,高速,武汉,15:00,上海虹桥,当天18:55,18:55,上海虹桥,18:55,235,1135,
G600,高速,武汉,15:00,上海虹桥,当天18:55,18:55,上海虹桥,18:55,235,1135,
G675,高速,武汉,13:35,上海虹桥,当天18:08,18:08,上海虹桥,18:08,273,1088,
G678,高速,武汉,13:35,上海虹桥,当天18:08,18:08,上海虹桥,18:08,273,1088,CRH380BL3504
G7,高速,北京南,10:00,上海虹桥,当天14:28,14:28,上海虹桥,14:28,268,868,
G7101,高速,南京,6:12,上海虹桥,当天08:19,8:19,上海虹桥,8:19,127,499,
G7103,高速,南京南,7:19,上海虹桥,当天09:25,9:25,上海虹桥,9:25,126,565,
G7105,高速,南京,8:40,上海虹桥,当天10:44,10:44,上海虹桥,10:44,124,644,
G7107,高速,南京,9:10,上海虹桥,当天11:18,11:18,上海虹桥,11:18,128,678,
G7109,高速,南京,9:55,上海虹桥,当天12:00,12:00,上海虹桥,12:00,125,720,
G7111,高速,南京,10:29,上海虹桥,当天12:28,12:28,上海虹桥,12:28,119,748,
G7113,高速,南京,10:55,上海虹桥,当天12:51,12:51,上海虹桥,12:51,116,771,
G7115,高速,南京,13:33,上海虹桥,当天15:35,15:35,上海虹桥,15:35,122,935,
G7117,高速,南京,14:41,上海虹桥,当天16:44,16:44,上海虹桥,16:44,123,1004,
G7119,高速,南京,16:18,上海虹桥,当天18:26,18:26,上海虹桥,18:26,128,1106,
G7121,高速,南京,17:05,上海虹桥,当天18:57,18:57,上海虹桥,18:57,112,1137,
G7123,高速,南京,18:33,上海虹桥,当天20:51,20:51,上海虹桥,20:51,138,1251,
G7125,高速,南京,19:48,上海虹桥,当天21:52,21:52,上海虹桥,21:52,124,1312,
G7127,高速,南京南,13:24,上海虹桥,当天15:30,15:30,上海虹桥,15:30,126,930,
G7129,高速,南京南,6:48,上海虹桥,当天08:51,8:51,上海虹桥,8:51,123,531,
G7131,高速,安庆,10:30,上海虹桥,当天14:29,14:29,上海虹桥,14:29,239,869,
G7134,高速,安庆,10:30,上海虹桥,当天14:29,14:29,上海虹桥,14:29,239,869,
G7135,高速,安庆,12:17,上海虹桥,当天16:21,16:21,上海虹桥,16:21,244,981,
G7138,高速,安庆,12:17,上海虹桥,当天16:21,16:21,上海虹桥,16:21,244,981,
G7139,高速,安庆,13:08,上海虹桥,当天17:21,17:21,上海虹桥,17:21,253,1041,CRH2C2090
G7142,高速,安庆,13:08,上海虹桥,当天17:21,17:21,上海虹桥,17:21,253,1041,
G7143,高速,安庆,13:52,上海虹桥,当天17:52,17:52,上海虹桥,17:52,240,1072,
G7146,高速,安庆,13:52,上海虹桥,当天17:52,17:52,上海虹桥,17:52,240,1072,
G7147,高速,安庆,7:03,上海虹桥,当天11:06,11:06,上海虹桥,11:06,243,666,
G7150,高速,安庆,7:03,上海虹桥,当天11:06,11:06,上海虹桥,11:06,243,666,
G7155,高速,六安,16:16,上海虹桥,当天20:00,20:00,上海虹桥,20:00,224,1200,
G7158,高速,六安,16:16,上海虹桥,当天20:00,20:00,上海虹桥,20:00,224,1200,
G7159,高速,六安,8:55,上海虹桥,当天12:43,12:43,上海虹桥,12:43,228,763,
G7162,高速,六安,8:55,上海虹桥,当天12:43,12:43,上海虹桥,12:43,228,763,
G7163,高速,亳州南,18:17,上海虹桥,当天23:08,23:08,上海虹桥,23:08,291,1388,
G7166,高速,亳州南,18:17,上海虹桥,当天23:08,23:08,上海虹桥,23:08,291,1388,
G7167,高速,池州,7:35,上海虹桥,当天11:39,11:39,上海虹桥,11:39,244,699,
G7170,高速,池州,7:35,上海虹桥,当天11:39,11:39,上海虹桥,11:39,244,699,
G7171,高速,合肥南,14:01,上海虹桥,当天17:06,17:06,上海虹桥,17:06,185,1026,
G7174,高速,合肥南,14:01,上海虹桥,当天17:06,17:06,上海虹桥,17:06,185,1026,
G7181,高速,亳州南,7:38,上海虹桥,当天12:31,12:31,上海虹桥,12:31,293,751,
