id,avg_spd,grp_shr,trl_shr,str_cst,avg_int,ctrl_par,std_spd,id,MFR,MET,max_pop2,MDB,avg_a_spd,ATR,cong_time,max_pop,MRD,avg_dsr_spd,cong_ratio,avg_duration,avg_spd_ratio,max_time
31,1.311140011,0.487328848,0.499373762,13.95755247,1.946723205,0.578160784,0.20017962,31,182.6,252.3333333,109.5032258,1.028199303,0.672331676,2.147738578,8,116.2,109,1.40699442,0.126588382,94.34185185,0.515461458,185.6666667
32,1.307561125,0.160386689,0.497124953,13.50787262,1.845276471,0.315966688,0.165524566,32,187.8666667,240.8,97.35913978,0.914170327,0.718662214,1.932287357,0,103.1333333,104.1333333,1.329124767,0.160687073,86.20796296,0.549136328,177.8
33,1.308597866,0.336669128,0.656134887,37.03134101,2.157925828,0.731098213,0.155539899,33,127.6,337,193.3634409,1.815619163,0.548824934,2.803316915,155.8666667,199.4666667,161.2666667,1.442559503,0.083203135,130.1862037,0.418843726,206.0666667
34,1.383804117,0.365953448,0.478615327,31.93470239,1.300395131,0.919837151,0.169593834,34,190.4666667,260.0666667,219.2666667,2.058841941,0.588364283,2.829355376,122.2666667,226.2666667,109.3333333,1.549587711,0.039326299,117.2741667,0.423993376,163.4
35,1.297168556,0.042029524,0.596575356,36.85556755,1.796676353,0.683998268,0.190320009,35,145.4666667,310.8,221.7634409,2.08228583,0.561317811,2.471067288,159.1333333,228.6,143.2,1.298141037,0.053355746,128.4117593,0.429426966,177.8
36,1.333225282,0.265101778,0.430132322,35.61094831,1.374615123,0.590552782,0.219630615,36,178.4666667,271.2,232.888172,2.186743399,0.572404042,2.675698354,133.0666667,240.1333333,120.1333333,1.428374712,0.039158695,123.2731481,0.430930304,153.9333333
37,1.363171684,0.470166629,0.693555909,13.13544958,1.743684963,0.689862701,0.179253618,37,192.2,235.8,115.0516129,1.080296835,0.681806058,2.181890609,13.8,122.5333333,101.3333333,1.441181814,0.098101025,91.96712963,0.505466665,177.8666667
38,1.270903708,0.334328574,0.457264194,10.9465321,2.048477994,0.825840091,0.222469404,38,176.1333333,257.9333333,82.24731183,0.772275228,0.711265087,1.887102205,0,88.53333333,114.4666667,1.308868365,0.20830243,87.45388889,0.56376092,183.3333333
39,1.345452133,0.029274632,0.453722776,31.01053267,1.731653781,0.829321893,0.247500032,39,177.2666667,267.2666667,175.8258065,1.650946539,0.658896619,2.214215437,116.2666667,182.4666667,114.6666667,1.349237169,0.055020478,104.2464815,0.481923687,182.4
40,1.31770931,0.468910802,0.572627416,24.70819845,1.885037572,0.755738037,0.16969703,40,152.1333333,290.4666667,165.1483871,1.550689081,0.606183437,2.535079287,118.8666667,171.4666667,130.4666667,1.454622969,0.089027102,112.262037,0.460667225,191.0666667
41,1.353988939,0.637398425,0.556315935,18.18937716,1.470349179,0.929859865,0.214894693,41,182.5333333,258.6666667,161.5247312,1.516664143,0.612833005,2.729329618,90.53333333,169.2,110.3333333,1.579422944,0.066461154,109.8708333,0.454813398,174.5333333
42,1.269131203,0.230212533,0.564772575,35.6570339,1.359531963,0.898375159,0.248410771,42,159,300.0666667,235.1548387,2.208026655,0.538536573,2.737957583,150.6666667,243.0666667,137.6,1.380084879,0.053639937,136.8083333,0.425638089,151
43,1.297530043,0.50114257,0.560526891,25.10022027,2.064545178,0.754345191,0.174239051,43,144.6666667,304.6666667,158.9806452,1.492776011,0.600579476,2.500456536,110.3333333,165.3333333,142.0666667,1.430729639,0.103833688,113.2028704,0.464960317,206.5333333
44,1.280279257,0.085497464,0.645533752,18.20169056,1.471258032,0.140669382,0.240826622,44,193.6666667,247.8,162.1956989,1.522964309,0.64850718,2.1380796,96.93333333,169.5333333,100.6,1.31472706,0.076170511,102.3315741,0.501823227,161.8
45,1.317360702,0.035329807,0.443240929,18.81468032,1.386228542,0.815635309,0.267118123,45,216.0666667,222.2666667,167.4537634,1.572335807,0.687492618,2.014598569,85.06666667,175.5333333,87.4,1.320154754,0.053618404,94.93694444,0.517130764,156.8
46,1.254006668,0.481317144,0.693400888,19.05065625,1.375379716,0.116529898,0.234886929,46,179,269.8666667,188.4860215,1.769821798,0.565473618,2.586685042,119.3333333,195.0666667,117.6,1.397198844,0.049683555,123.6091667,0.454403895,166.1333333
47,1.267028057,0.540242698,0.497140337,20.3582711,1.633874114,0.810436438,0.177263176,47,174.9333333,271.9333333,163.2344086,1.532717452,0.600767349,2.466486264,103.6666667,171.5333333,117.8666667,1.417329642,0.073234779,111.3375,0.476823725,186.6
48,1.39938832,0.38485665,0.460236555,24.64939785,1.568714569,0.069445215,0.229208868,48,196.8,246.5333333,165.6043011,1.554969963,0.643518717,2.511132619,93.13333333,175.1333333,101.7333333,1.521223294,0.061874269,102.8318519,0.462540933,166
49,1.268436142,0.542237058,0.554121126,26.69660801,1.868931297,0.151184458,0.171595024,49,150.0666667,300.4666667,174.0774194,1.634529759,0.573549444,2.665752253,123.3333333,181.2,138.4,1.453374383,0.074923155,119.5264815,0.455658086,202.2
50,1.394221164,0.057518759,0.536062127,39.23154683,2.115880147,0.088834722,0.198106986,50,147,307.3333333,171.9483871,1.614538846,0.621848966,2.422075807,136.6,178.7333333,139.8,1.389193798,0.074018886,111.8984259,0.443775844,206.5333333
51,1.356787113,0.530610192,0.503925736,18.40854302,1.668046973,0.291435905,0.245040345,51,189.8,249.8,138.9333333,1.304538341,0.6521609,2.354982661,68,147.8666667,106.8,1.476494541,0.100191578,99.97898148,0.488916852,176.7333333
52,1.255697304,0.532523422,0.584004546,11.42575343,1.980885815,0.15444402,0.199312332,52,176.5333333,259.2,110.3913978,1.036538947,0.652462136,2.141279797,7.333333333,116.3333333,111.6,1.362243644,0.12273504,97.84805556,0.524576864,190.4
53,1.314629985,0.200943173,0.459397642,34.33295699,1.789942863,0.488455946,0.265692233,53,163.3333333,289.6,185.5827957,1.742561462,0.603695115,2.458245463,130.3333333,193.2,129.2,1.378168745,0.107575631,116.8125,0.458214407,167.0666667
54,1.255442868,0.298324842,0.556283373,28.8731401,1.760828113,0.297017183,0.206313868,54,157.0666667,301,192.3827957,1.806411227,0.567421063,2.62009093,138.5333333,199.2666667,135.5333333,1.393693209,0.075340565,124.3312963,0.450512243,177.5333333
55,1.344143193,0.595635268,0.683070119,34.73480235,1.877097937,0.989322111,0.165905454,55,138.3333333,317.2666667,188.1935484,1.767075572,0.560641717,3.033072843,141.6,194.4666667,152.4666667,1.601283747,0.069227894,126.9547222,0.417141,207.7333333
56,1.335401613,0.226349798,0.638962598,33.55329246,1.413344611,0.407179195,0.182548664,56,160,294.8666667,218.8580645,2.055005301,0.564943573,2.762192841,145.2666667,224.5333333,133.2,1.448761599,0.060396024,127.2860185,0.421776107,164.3333333
57,1.328291753,0.104009339,0.511614343,33.84528812,1.856854905,0.327394733,0.190220093,57,156.8,295.7333333,179.8408602,1.688646575,0.608016516,2.395323985,133.7333333,186.4666667,132.0666667,1.354070127,0.073825753,113.5359259,0.455105204,190.5333333
58,1.386747238,0.470614873,0.579079415,22.66702504,1.950679123,0.643859129,0.244670194,58,169.4666667,267.6666667,135.688172,1.274067343,0.657455961,2.374977844,75.86666667,142.4666667,117.4,1.489947985,0.09049784,100.9351852,0.478647033,193.8
59,1.288687404,0.408420175,0.58414642,33.74765686,1.412624948,0.270413714,0.176564441,59,152.6,312.4666667,224.3204301,2.106295118,0.533291616,3.059322642,151.0666667,230.7333333,142.2,1.505016601,0.036919872,137.3325926,0.413605452,177.6
60,1.319225863,0.448177823,0.576402882,15.37133785,1.468372782,0.920640899,0.204281418,60,194.4,241.0666667,150.6451613,1.414508557,0.632946926,2.409796223,80.8,158.6666667,100.6666667,1.447093185,0.075366455,103.1087037,0.484064699,167.9333333
61,1.385660645,0.185324876,0.50404417,13.55465183,2.088460226,0.299266274,0.224221095,61,175.7333333,246.5333333,67.92903226,0.637831289,0.784071614,1.850695267,0,74,112.2,1.397630283,0.212809303,78.68861111,0.566351136,181.4
62,1.2744126,0.02592901,0.471642362,38.62862872,2.125582838,0.345310538,0.188448654,62,133.3333333,324.1333333,195.8666667,1.839123631,0.566892543,2.416989863,154.3333333,202.2666667,150.9333333,1.277859672,0.067008463,122.9171296,0.440970235,211.8666667
63,1.37165209,0.162254291,0.51023741,23.96994438,2.180505138,0.404700235,0.181600671,63,166.0666667,275.6,123.8537634,1.162946136,0.689841933,2.183875217,48.33333333,129.7333333,119.4666667,1.404794279,0.118187306,95.01527778,0.500773435,199.8
64,1.329136452,0.034934584,0.429652881,17.25565252,2.1494245,0.262220414,0.259594068,64,168.9333333,258.9333333,89.10107527,0.836629815,0.762346059,1.847807933,0,95.6,114.2666667,1.328320532,0.186058167,84.2037037,0.566862609,193.0666667
65,1.283776456,0.068462715,0.647080605,29.82531567,2.175630508,0.95879275,0.196486588,65,145.4,315.2,171.4580645,1.609934878,0.598397137,2.296218569,139.7333333,177.6,141.4666667,1.280787821,0.065104797,116.4984259,0.463326248,213.1333333
66,1.336341103,0.167459623,0.492044193,21.61437201,1.638156679,0.522961739,0.241776632,66,188.2,252.6,142.2494624,1.335675703,0.679777335,2.16929866,77.8,149,104.4666667,1.38815944,0.130903213,96.8275,0.50429306,163.6666667
67,1.308733163,0.548643326,0.646787984,21.23473011,1.34188283,0.779717514,0.153524635,67,180.9333333,264.8,195.4408602,1.835125448,0.569380951,2.770691224,121,202.6666667,114.2666667,1.494352797,0.045853746,120.6103704,0.441919849,158.1333333
68,1.250325074,0.309685644,0.504555785,15.21124371,1.764135704,0.788636906,0.198945542,68,186,251.5333333,138.6817204,1.302175779,0.641722794,2.159772313,72.73333333,145.9333333,105.6666667,1.329346045,0.10831263,100.5122222,0.514479288,175.5333333
69,1.399566785,0.220876273,0.625846049,21.44302677,2.074889233,0.786379191,0.290460648,69,165.4666667,269.6666667,108.4021505,1.017860568,0.720926326,2.121760674,7.533333333,114.8,119.2,1.443653827,0.149362172,91.58990741,0.513004879,191.8666667
70,1.269020278,0.225799202,0.639497819,31.95668637,1.505276686,0.262036473,0.257997894,70,156.6,309.4,211.3956989,1.98493614,0.549820243,2.735789623,148.7333333,218.3333333,142.9333333,1.400376771,0.054684263,133.6197222,0.432063672,169.8
71,1.336324351,0.572983369,0.412094022,21.0334709,1.304588281,0.161251576,0.281225351,71,203.1333333,241.8666667,172.2086022,1.61698218,0.613058009,2.57311481,88.46666667,182.0666667,99.33333333,1.510134291,0.076281789,109.3398148,0.464979349,151.8
72,1.299181827,0.600006418,0.614264563,34.08423904,2.101455924,0.636054173,0.252272678,72,139.7333333,324.4666667,167.8107527,1.575687819,0.573758202,2.824359034,126.7333333,174.3333333,153.9333333,1.53461462,0.09531975,123.6843519,0.444739099,208.4666667
73,1.346568626,0.625636997,0.440467893,17.24200011,1.731368625,0.096924743,0.280443388,73,191.6666667,245.9333333,121.7311828,1.143015801,0.657807398,2.341963862,26.2,130.3333333,104.9333333,1.493994647,0.101119412,98.81009259,0.494232151,179.2
74,1.357137299,0.339065469,0.497525568,20.64658977,1.955751606,0.810527188,0.186182462,74,176.3333333,259.5333333,128.144086,1.203230855,0.674637685,2.205473403,56.2,134.8,110.6,1.41324893,0.128447279,95.88240741,0.498637944,180.4666667
75,1.308005802,0.528520503,0.698873843,32.72937602,1.74403383,0.443053284,0.255098392,75,146.0666667,314.5333333,190.483871,1.788580948,0.551755203,2.999854378,143.6,197.1333333,145.2,1.545298801,0.069690859,132.4309259,0.425302449,184.7333333
76,1.390215801,0.128869811,0.669254547,18.08857448,2.016430619,0.476623009,0.179852584,76,172.6666667,257.8666667,95.86666667,0.900156495,0.74143624,1.992051929,0,102.4666667,114.6,1.396977529,0.16788549,85.38101852,0.531823674,189.2
77,1.321542349,0.362542607,0.477180228,12.9442118,2.169104727,0.702309423,0.181029888,77,174,257.1333333,85.56129032,0.803392397,0.717299084,1.959460988,0,91.86666667,114.6,1.367362943,0.171551793,86.63564815,0.546081051,193.2666667
78,1.254888335,0.534777565,0.454158489,36.41107126,1.303495381,0.116940598,0.252688667,78,159.6666667,301,222.7569892,2.091614923,0.522442518,3.112479854,143.6666667,229.4,138.2,1.518954321,0.059120031,140.305,0.419877849,150.3333333
79,1.26746503,0.288681881,0.538467188,25.18358043,1.483496869,0.530022046,0.178325594,79,175.2,279.0666667,201.116129,1.888414357,0.574008322,2.609285054,127.2666667,208.2666667,119.6,1.400277882,0.060407869,120.6055556,0.451688579,168.8666667
80,1.268795644,0.066180635,0.477197769,18.61538387,1.992793627,0.461838153,0.299676646,80,170.6666667,268.2,123.7806452,1.162259579,0.698269769,1.915125819,46.53333333,129.9333333,115.0666667,1.262779419,0.15587535,96.30518519,0.548218879,182.9333333
81,1.301685806,0.544004256,0.430349307,10.27301175,2.054034274,0.277817584,0.291487138,81,171.4666667,258.6,75.58494624,0.709717805,0.711478718,1.953458463,0,83,116.2666667,1.373743895,0.185274967,88.63185185,0.556809802,191.1333333
82,1.32322807,0.541378133,0.44494803,36.1701392,1.885502211,0.257918439,0.197467903,82,150.2,304.8666667,175,1.643192488,0.57794617,2.844595814,124.4666667,181,141.8,1.540880579,0.079940026,119.4680556,0.440542964,194.7333333
83,1.317639236,0.598422535,0.68486092,14.82335238,2.038891927,0.381510296,0.233785914,83,165.8,271,107.3204301,1.007703569,0.665785072,2.175319821,2.4,114.8,120.6666667,1.421008593,0.119779092,96.73,0.50982133,207.0666667
84,1.267082997,0.02349856,0.492212439,38.27608243,1.974922844,0.505780401,0.150998231,84,139.2,320.7333333,219.5204301,2.061224696,0.546877479,2.475715073,161.2666667,226.7333333,147.6,1.26920581,0.038588805,128.8276852,0.428769052,204.7333333
85,1.296804505,0.628685129,0.448696933,30.83155754,1.305745463,0.955658137,0.180165892,85,175.9333333,283.9333333,210.4688172,1.976233025,0.545709251,3.092865917,127.6,218.6,126.4666667,1.577584568,0.049377222,130.0160185,0.420934625,161.5333333
86,1.347467462,0.532933317,0.629780956,25.78330544,2.107771013,0.45983951,0.288305291,86,150.9333333,293.8666667,134.3376344,1.261386239,0.633883472,2.429894175,74.8,140.9333333,132.7333333,1.478071428,0.133813761,106.9739815,0.478657067,190.6666667
87,1.386711742,0.339583663,0.657826064,13.99156142,1.746399966,0.864142415,0.165587733,87,198.2666667,228.4,108.3870968,1.017719219,0.712575699,2.09154731,2,115.2666667,97.73333333,1.436414433,0.100008435,87.18564815,0.515634203,177.0666667
88,1.398770873,0.520364762,0.602272924,33.51697489,1.49290087,0.862458915,0.197752946,88,164.8666667,292.0666667,204.2193548,1.917552628,0.573199523,3.095994031,132.1333333,210.7333333,133.2,1.636706391,0.058992256,125.2187037,0.411950754,166.2666667
89,1.300756024,0.314865119,0.465608145,25.03426737,1.751432001,0.308002164,0.238413515,89,174.8666667,274.2666667,166.7075269,1.565328891,0.619373359,2.410029123,105.3333333,173.4,116.2,1.406086167,0.100772321,109.3134259,0.476226917,175.0666667
90,1.302081158,0.17921261,0.664718569,16.4340671,1.644750591,0.699389704,0.17663376,90,184.7333333,247.8,140.5376344,1.319602201,0.662765008,2.104961049,77.73333333,146.9333333,105.4666667,1.328960531,0.0859358,97.11092593,0.508695608,179.8666667
91,1.368656049,0.488292144,0.629127253,22.99144205,2.164829924,0.599222649,0.253128236,91,160.1333333,284.4666667,132.1010753,1.240385683,0.653564777,2.379548309,59.66666667,138.4,128.2666667,1.493134995,0.101048137,102.102037,0.478645371,206.4666667
92,1.317656263,0.321740774,0.562667685,26.80496636,1.374533694,0.566003384,0.255734732,92,185,268.6,202.9591398,1.905719622,0.584615984,2.580438317,121.3333333,209.4666667,119.0666667,1.418116029,0.045591133,119.9484259,0.447317354,160.9333333
93,1.370287346,0.075912283,0.534461591,27.93774811,2.135115654,0.235042018,0.150898414,93,159,283.7333333,138.6580645,1.301953657,0.669409136,2.267199627,103.2666667,145.2,122.2666667,1.400479478,0.106846403,99.54305556,0.481944017,201.9333333
94,1.292789487,0.498637663,0.48097722,21.48979082,1.454894764,0.800664422,0.157649122,94,182.9333333,264.4,181.311828,1.702458478,0.590050557,2.709746032,109.0666667,189.8666667,112.2,1.498826773,0.062483926,114.3325,0.457212145,177.7333333
95,1.330357824,0.573600798,0.567180847,19.345459,1.609118829,0.413081879,0.15243999,95,175.6,263.2666667,158.5913978,1.489121107,0.620016616,2.521656724,99.06666667,165.0666667,116.2666667,1.490947163,0.072403215,106.900463,0.468437185,185.2
96,1.374630481,0.367637897,0.67487421,33.63993183,2.198337595,0.318961366,0.258163629,96,141.0666667,315.6666667,161.1182796,1.512847695,0.608369138,2.642100175,124.4666667,167,146.5333333,1.503895223,0.087473396,116.1025926,0.443614326,204.5333333
97,1.28459407,0.648474441,0.411285781,11.75029572,1.888004435,0.853646549,0.210625283,97,185.1333333,249.2666667,95.08387097,0.8928063,0.670434124,2.111331339,0,103.3333333,106.9333333,1.393951599,0.149689412,93.96240741,0.530298249,184
98,1.372593906,0.136625729,0.662444447,28.93053735,2.136091809,0.043712139,0.172965648,98,156.8,293.1333333,150.1268817,1.409642082,0.646149234,2.322666366,114.1333333,156.2666667,127.8,1.395463054,0.071586189,104.7634259,0.46835719,212.2
99,1.362545061,0.336023678,0.414015531,27.62133374,1.486388634,0.409441886,0.212863174,99,189.1333333,256.6666667,183.9548387,1.727275481,0.624535727,2.546779859,106.9333333,191.6666667,106.9333333,1.478928694,0.06721822,108.044537,0.458856903,168.4666667
